variable,level,non_hispanic_white,hispanic_all_races,non_hispanic_american_indian_alaska_native,non_hispanic_asian_or_pacific_islander,non_hispanic_black,non_hispanic_unknown_race,p,test
n,,7447,475,31,92,57,68,,
age_cat....,0-55,2953 (39.7),262 (55.2),13 (41.9),48 (52.2),31 (54.4),37 (54.4),<0.001,
X,56-68,2038 (27.4),119 (25.1),10 (32.3),18 (19.6),11 (19.3),13 (19.1),,
X.1,69+,2456 (33.0),94 (19.8),8 (25.8),26 (28.3),15 (26.3),18 (26.5),,
sex....,Male,3922 (52.7),222 (46.7),13 (41.9),43 (46.7),26 (45.6),38 (55.9),0.073,
X.2,Female,3525 (47.3),253 (53.3),18 (58.1),49 (53.3),31 (54.4),30 (44.1),,
ajcc_stage....,Stage I,671 (9.0),35 (7.4),2 (6.5),4 (4.3),3 (5.3),7 (10.3),0.001,
X.3,Stage II,1443 (19.4),98 (20.6),9 (29.0),19 (20.7),17 (29.8),4 (5.9),,
X.4,Stage IV,39 (0.5),7 (1.5),0 (0.0),3 (3.3),1 (1.8),0 (0.0),,
X.5,Unknown,5294 (71.1),335 (70.5),20 (64.5),66 (71.7),36 (63.2),57 (83.8),,
year_dx..mean..SD..,,2012.09 (6.24),2012.95 (6.13),2014.00 (5.53),2013.13 (6.04),2012.77 (6.61),2011.91 (6.45),0.014,
enucleation....,No_Enucleation,6141 (82.5),358 (75.4),25 (80.6),75 (81.5),40 (70.2),47 (69.1),<0.001,
X.6,Enucleation,1306 (17.5),117 (24.6),6 (19.4),17 (18.5),17 (29.8),21 (30.9),,
yost_cat....,Upper,2486 (33.4),156 (32.8),7 (22.6),57 (62.0),15 (26.3),20 (29.4),<0.001,
X.7,Middle,2448 (32.9),191 (40.2),10 (32.3),20 (21.7),19 (33.3),29 (42.6),,
X.8,Lower,2513 (33.7),128 (26.9),14 (45.2),15 (16.3),23 (40.4),19 (27.9),,
race_origin....,Non-Hispanic White,7447 (100.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),<0.001,
X.9,Hispanic (All Races),0 (0.0),475 (100.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),,
X.10,Non-Hispanic American Indian/Alaska Native,0 (0.0),0 (0.0),31 (100.0),0 (0.0),0 (0.0),0 (0.0),,
X.11,Non-Hispanic Asian or Pacific Islander,0 (0.0),0 (0.0),0 (0.0),92 (100.0),0 (0.0),0 (0.0),,
X.12,Non-Hispanic Black,0 (0.0),0 (0.0),0 (0.0),0 (0.0),57 (100.0),0 (0.0),,
X.13,Non-Hispanic Unknown Race,0 (0.0),0 (0.0),0 (0.0),0 (0.0),0 (0.0),68 (100.0),,
